Brand,Model Name,Model Image,Weight(g),Width(px),Height(px),ROM(MB),RAM(MB),Battery Capacity(mAh),Price(USD)
sony,Sony Xperia Tablet Z LTE,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-tablet-z-new.jpg,495.0,1200,1920,16000.0,2000.0,6000.0,395.49999999999994
sony,Sony Xperia Z,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z.jpg,146.0,1080,1920,16000.0,2000.0,2330.0,305.09999999999997
sony,Sony Xperia ZL,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-zl.jpg,151.0,1080,1920,16000.0,2000.0,2370.0,293.79999999999995
sony,Sony Xperia E dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e-dual.jpg,115.7,320,480,4000.0,512.0,1530.0,112.99999999999999
sony,Sony Xperia E,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e.jpg,115.7,320,480,4000.0,512.0,1530.0,90.39999999999999
sony,Sony Xperia T LTE,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-tl.jpg,148.0,720,1280,16000.0,1000.0,1850.0,395.49999999999994
sony,Sony Xperia Tablet S 3G,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-tablet-s-ofic.jpg,585.0,800,1280,16000.0,1000.0,6000.0,293.79999999999995
sony,Sony Xperia Tablet S,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-tablet-s-ofic.jpg,570.0,800,1280,16000.0,1000.0,6000.0,214.7
sony,Sony Xperia V,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-v.jpg,120.0,720,1280,8000.0,1000.0,1750.0,259.9
sony,Sony Xperia J,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-j.jpg,124.0,480,854,4000.0,512.0,1750.0,158.2
sony,Sony Xperia TX,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-tx.jpg,127.0,720,1280,16000.0,1000.0,1750.0,372.9
sony,Sony Xperia T,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-t.jpg,139.0,720,1280,16000.0,1000.0,1850.0,259.9
sony,Sony Xperia SL,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-s-ofic.jpg,144.0,720,1280,32000.0,1000.0,1750.0,271.2
sony,Sony Xperia tipo dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-tipo-dual.jpg,99.4,320,480,2900.0,512.0,1500.0,101.69999999999999
sony,Sony Xperia tipo,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-tipo.jpg,99.4,320,480,2900.0,512.0,1500.0,90.39999999999999
sony,Sony Xperia miro,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-miro.jpg,110.0,320,480,4000.0,512.0,1500.0,169.49999999999997
sony,Sony Xperia go,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-go.jpg,110.0,320,480,8000.0,512.0,1305.0,180.79999999999998
sony,Sony Xperia acro S,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-acro-s.jpg,147.0,720,1280,16000.0,1000.0,1910.0,259.9
sony,Sony Xperia SX SO-05D,https://fdn2.gsmarena.com/vv/bigpic/Sony-Xperia-SX-SO-05D.jpg,95.0,540,960,4000.0,1000.0,1500.0,248.59999999999997
sony,Sony Xperia GX SO-04D,https://fdn2.gsmarena.com/vv/bigpic/Sony-Xperia-GX-SO-04D.jpg,127.0,720,1280,16000.0,1000.0,1700.0,327.7
sony,Sony Xperia acro HD SO-03D,https://fdn2.gsmarena.com/vv/bigpic/Sony-Xperia-acro-HD-SO-03D.jpg,149.0,720,1280,11000.0,1000.0,1910.0,327.7
sony,Sony Xperia acro HD SOI12,https://fdn2.gsmarena.com/vv/bigpic/Sony-Xperia-acro-HD-SOI12.jpg,149.0,720,1280,11000.0,1000.0,1900.0,316.4
sony,Sony Xperia neo L,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-neo-l.jpg,131.5,480,854,1000.0,512.0,1500.0,169.49999999999997
sony,Sony Xperia sola,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-sola.jpg,107.0,480,854,8000.0,512.0,1320.0,135.6
sony,Sony Xperia U,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-u-ofic.jpg,110.0,480,854,8000.0,512.0,1320.0,158.2
sony,Sony Xperia P,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-p-ofic.jpg,120.0,540,960,16000.0,1000.0,1305.0,237.29999999999998
sony,Sony Xperia S,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-s-ofic.jpg,144.0,720,1280,32000.0,1000.0,1750.0,259.9
sony,Sony Xperia ion HSPA,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-ion-hspa.jpg,144.0,720,1280,13200.0,1000.0,1900.0,282.5
sony,Sony Xperia ion LTE,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-ion-ofic.jpg,144.0,720,1280,16000.0,1000.0,1900.0,237.29999999999998
sony,Sony Tablet P,https://fdn2.gsmarena.com/vv/bigpic/sony-tablet-p.jpg,372.0,480,1024,4000.0,1000.0,3080.0,237.29999999999998
sony,Sony Tablet P 3G,https://fdn2.gsmarena.com/vv/bigpic/sony-tablet-p.jpg,372.0,480,1024,4000.0,1000.0,3080.0,203.39999999999998
sony,Sony Tablet S 3G,https://fdn2.gsmarena.com/vv/bigpic/sony-tablet-s.jpg,625.0,800,1280,16000.0,1000.0,,293.79999999999995
sony,Sony Tablet S,https://fdn2.gsmarena.com/vv/bigpic/sony-tablet-s.jpg,598.0,800,1280,16000.0,1000.0,,203.39999999999998
acer,Acer Chromebook Tab 10,https://fdn2.gsmarena.com/vv/bigpic/acer-chromebook-tab-10.jpg,544.3,1536,2048,32000.0,4000.0,4500.0,372.9
acer,Acer Iconia Talk S,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-talk-s.jpg,260.0,720,1280,16000.0,2000.0,3400.0,192.1
acer,Acer Liquid Z6 Plus,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z6-plus.jpg,169.0,1080,1920,32000.0,3000.0,4080.0,282.5
acer,Acer Liquid Z6,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z6.jpg,126.0,720,1280,8000.0,1000.0,2000.0,135.6
acer,Acer Liquid X2,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg,166.0,720,1280,32000.0,3000.0,4020.0,259.9
acer,Acer Liquid Zest,https://fdn2.gsmarena.com/vv/bigpic/acer-zest.jpg,125.0,720,1280,8000.0,1000.0,2000.0,124.29999999999998
acer,Acer Predator 8,https://fdn2.gsmarena.com/vv/bigpic/acer-predator-8.jpg,353.8,1200,1920,32000.0,2000.0,4420.0,395.49999999999994
acer,Acer Liquid Jade Primo,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-primo-.jpg,150.0,1080,1920,32000.0,3000.0,2870.0,248.59999999999997
acer,Acer Liquid Z330,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z320-z330.jpg,142.0,480,854,8000.0,1000.0,2000.0,124.29999999999998
acer,Acer Liquid Z320,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z320-z330.jpg,142.0,480,854,8000.0,1000.0,2000.0,101.69999999999999
acer,Acer Liquid Z630,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z630.jpg,165.0,720,1280,8000.0,1000.0,4000.0,225.99999999999997
acer,Acer Liquid Z530,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg,145.0,720,1280,8000.0,1000.0,2420.0,169.49999999999997
acer,Acer Iconia Tab 10 A3-A30,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a30-new.png,540.0,1200,1920,16000.0,2000.0,5910.0,282.5
